,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,1312,2,1,2,260095.89,Sold,15605.7534"
1,"2,3253,6,2,2,247710.37,Sold,14862.6222"
2,"3,3673,3,2,3,220462.23,Unsold,0"
3,"4,4324,1,1,2,341840.31,Unsold,0"
4,"5,2770,3,3,2,242756.16,Sold,14565.3696"
5,"6,4790,4,2,3,217985.13,Unsold,0"
6,"7,2063,5,1,1,274958.51,Unsold,0"
7,"8,4083,3,2,1,262572.99,Sold,15754.379399999998"
8,"9,3682,3,3,2,250187.48,Sold,15011.2488"
9,"10,4044,6,1,1,279912.72,Unsold,0"
10,"11,1754,3,2,3,213030.92,Sold,12781.8552"
11,"12,4972,5,3,2,247710.37,Unsold,0"
12,"13,1947,3,2,2,230370.65,Sold,13822.239"
13,"14,1763,6,3,3,247710.37,Sold,14862.6222"
14,"15,4533,6,2,1,247710.37,Unsold,0"
15,"16,1905,4,1,2,245233.27,Sold,14713.9962"
16,"17,3128,4,3,2,274958.51,Unsold,0"
17,"18,3157,3,1,1,284866.93,Unsold,0"
18,"19,2526,4,2,1,262572.99,Unsold,0"
19,"20,1744,5,2,1,247710.37,Unsold,0"
20,"21,4901,5,1,3,245233.27,Sold,14713.9962"
21,"22,4517,6,2,1,247710.37,Sold,14862.6222"
22,"23,4360,5,3,2,247710.37,Sold,14862.6222"
23,"24,2237,4,2,3,213030.92,Unsold,0"
24,"25,3695,4,1,2,250187.48,Unsold,0"
25,"26,1065,3,2,2,230370.65,Unsold,0"
26,"27,2174,4,1,1,287344.03,Sold,17240.6418"
27,"28,2696,6,2,1,247710.37,Unsold,0"
28,"29,3567,4,2,1,267527.2,Sold,16051.632"
29,"30,1124,6,3,1,247710.37,Sold,14862.6222"
