,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,4807,5,1,3,244784.12,Sold,14687.047199999999"
1,"2,2064,6,3,1,247256.69,Sold,14835.401399999999"
2,"3,3362,3,3,1,284345.19,Sold,17060.7114"
3,"4,1788,4,3,3,284345.19,Unsold,0"
4,"5,1385,2,2,2,247256.69,Sold,14835.401399999999"
5,"6,1670,6,1,3,220058.45,Sold,13203.507"
6,"7,4928,5,2,2,247256.69,Sold,14835.401399999999"
7,"8,1300,3,3,2,242311.56,Sold,14538.693599999999"
8,"9,1348,5,2,3,247256.69,Sold,14835.401399999999"
9,"10,2185,3,2,3,212640.75,Sold,12758.445"
10,"11,1387,3,3,3,227476.15,Sold,13648.569"
11,"12,2170,6,1,2,242311.56,Sold,14538.693599999999"
12,"13,1907,5,3,1,247256.69,Sold,14835.401399999999"
13,"14,4188,4,3,1,267037.23,Sold,16022.233799999998"
14,"15,1069,6,1,3,220058.45,Sold,13203.507"
15,"16,1778,6,2,1,247256.69,Sold,14835.401399999999"
16,"17,2641,6,3,2,247256.69,Sold,14835.401399999999"
17,"18,4937,6,3,2,247256.69,Sold,14835.401399999999"
18,"19,3313,5,2,2,247256.69,Unsold,0"
19,"20,3768,3,1,2,257146.96,Unsold,0"
20,"21,2001,4,2,1,262092.09,Sold,15725.525399999999"
21,"22,3395,3,3,3,232421.29,Sold,13945.2774"
22,"23,3094,3,3,3,232421.29,Sold,13945.2774"
23,"24,3230,4,2,1,267037.23,Unsold,0"
24,"25,2276,3,1,3,269509.79,Sold,16170.587399999999"
25,"26,3002,4,2,2,220058.45,Unsold,0"
26,"27,3055,1,1,1,321433.7,Unsold,0"
27,"28,1211,4,3,1,267037.23,Sold,16022.233799999998"
28,"29,3320,5,2,2,247256.69,Unsold,0"
29,"30,1087,3,1,3,269509.79,Sold,16170.587399999999"
