,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,4484,5,2,3,247256.69,Sold,14835.401399999999"
1,"2,3980,4,3,2,274454.93,Sold,16467.2958"
2,"3,3471,6,2,2,247256.69,Sold,14835.401399999999"
3,"4,4194,6,1,2,257146.96,Sold,15428.817599999998"
4,"5,2044,6,3,2,247256.69,Unsold,0"
5,"6,3974,1,1,1,321433.7,Unsold,0"
6,"7,3169,5,2,3,247256.69,Sold,14835.401399999999"
7,"8,2323,3,3,2,242311.56,Sold,14538.693599999999"
8,"9,1018,6,2,2,247256.69,Unsold,0"
9,"10,3023,1,1,1,321433.7,Sold,19286.022"
10,"11,3907,6,3,3,247256.69,Sold,14835.401399999999"
11,"12,3827,5,1,3,234893.86,Sold,14093.631599999999"
12,"13,4614,6,1,3,237366.42,Sold,14241.985200000001"
13,"14,3472,5,2,2,247256.69,Sold,14835.401399999999"
14,"15,1795,6,1,3,220058.45,Sold,13203.507"
15,"16,1739,5,1,1,274454.93,Unsold,0"
16,"17,2676,5,1,1,274454.93,Sold,16467.2958"
17,"18,3114,5,2,1,247256.69,Sold,14835.401399999999"
18,"19,1567,3,3,3,227476.15,Sold,13648.569"
19,"20,4200,4,3,1,267037.23,Sold,16022.233799999998"
20,"21,1496,6,2,2,247256.69,Sold,14835.401399999999"
21,"22,3325,6,3,2,247256.69,Sold,14835.401399999999"
22,"23,2380,4,2,3,212640.75,Sold,12758.445"
23,"24,4995,4,3,1,267037.23,Sold,16022.233799999998"
24,"25,4112,4,2,2,220058.45,Unsold,0"
25,"26,1151,1,1,3,316488.56,Unsold,0"
26,"27,1845,3,1,2,249729.26,Unsold,0"
27,"28,4820,2,2,1,247256.69,Unsold,0"
28,"29,2969,4,1,2,244784.12,Sold,14687.047199999999"
29,"30,4397,5,3,1,247256.69,Sold,14835.401399999999"
