,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,2399,2,2,3,247256.69,Unsold,0"
1,"2,2473,4,2,1,262092.09,Unsold,0"
2,"3,3135,2,2,2,247256.69,Sold,14835.401399999999"
3,"4,2443,5,2,3,247256.69,Sold,14835.401399999999"
4,"5,4044,4,3,3,284345.19,Sold,17060.7114"
5,"6,3407,6,2,3,247256.69,Unsold,0"
6,"7,3458,1,1,1,321433.7,Sold,19286.022"
7,"8,1972,6,2,3,247256.69,Sold,14835.401399999999"
8,"9,2137,6,2,1,247256.69,Sold,14835.401399999999"
9,"10,1249,6,3,1,247256.69,Unsold,0"
10,"11,3840,2,2,3,247256.69,Sold,14835.401399999999"
11,"12,3116,4,3,3,284345.19,Unsold,0"
12,"13,3719,3,2,2,244784.12,Sold,14687.047199999999"
13,"14,3950,6,3,3,247256.69,Sold,14835.401399999999"
14,"15,1102,6,3,3,247256.69,Unsold,0"
15,"16,3893,2,1,1,306598.3,Sold,18395.897999999997"
16,"17,1605,5,3,1,247256.69,Sold,14835.401399999999"
17,"18,2524,4,2,3,212640.75,Sold,12758.445"
18,"19,4715,3,3,1,284345.19,Unsold,0"
19,"20,4240,3,1,1,249729.26,Sold,14983.7556"
20,"21,2009,3,3,3,227476.15,Sold,13648.569"
21,"22,1801,6,1,1,274454.93,Unsold,0"
22,"23,3303,4,1,3,269509.79,Sold,16170.587399999999"
23,"24,2384,5,2,3,247256.69,Sold,14835.401399999999"
24,"25,2585,3,2,3,212640.75,Sold,12758.445"
25,"26,3024,4,3,2,274454.93,Unsold,0"
26,"27,2474,3,3,1,276927.49,Sold,16615.6494"
27,"28,1750,4,2,2,217585.89,Sold,13055.153400000001"
28,"29,2559,6,3,3,247256.69,Sold,14835.401399999999"
29,"30,1521,4,3,2,274454.93,Sold,16467.2958"
