,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,3745,4,2,3,217985.13,Sold,13079.1078"
1,"2,3824,6,3,3,247710.37,Sold,14862.6222"
2,"3,2605,6,3,1,247710.37,Sold,14862.6222"
3,"4,1451,5,2,3,247710.37,Sold,14862.6222"
4,"5,2852,6,2,3,247710.37,Sold,14862.6222"
5,"6,4122,5,3,1,247710.37,Sold,14862.6222"
6,"7,3903,5,2,1,247710.37,Unsold,0"
7,"8,1347,2,1,2,260095.89,Sold,15605.7534"
8,"9,4962,6,2,2,247710.37,Sold,14862.6222"
9,"10,4933,3,3,1,284866.93,Sold,17092.015799999997"
10,"11,1554,5,3,2,247710.37,Sold,14862.6222"
11,"12,3563,6,3,3,247710.37,Sold,14862.6222"
12,"13,2068,6,3,3,247710.37,Sold,14862.6222"
13,"14,3781,3,3,2,250187.48,Unsold,0"
14,"15,4600,3,1,3,270004.31,Sold,16200.2586"
15,"16,4172,4,2,3,217985.13,Sold,13079.1078"
16,"17,1289,3,3,2,242756.16,Sold,14565.3696"
17,"18,3166,5,2,2,247710.37,Sold,14862.6222"
18,"19,2260,5,3,1,247710.37,Unsold,0"
19,"20,4752,3,1,2,279912.72,Unsold,0"
20,"21,3020,3,1,3,270004.31,Sold,16200.2586"
21,"22,1184,6,3,1,247710.37,Sold,14862.6222"
22,"23,3107,5,2,3,247710.37,Sold,14862.6222"
23,"24,1128,4,3,1,267527.2,Sold,16051.632"
24,"25,1088,5,2,2,247710.37,Sold,14862.6222"
25,"26,2789,4,3,3,284866.93,Sold,17092.015799999997"
26,"27,4083,4,3,2,274958.51,Unsold,0"
27,"28,1720,2,1,3,260095.89,Sold,15605.7534"
28,"29,4398,5,2,2,247710.37,Sold,14862.6222"
29,"30,4325,5,1,3,245233.27,Sold,14713.9962"
