,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,1303,5,3,1,247710.37,Unsold,0"
1,"2,3766,3,1,1,284866.93,Unsold,0"
2,"3,2286,6,2,1,247710.37,Unsold,0"
3,"4,2083,4,1,1,287344.03,Unsold,0"
4,"5,3423,3,1,1,284866.93,Unsold,0"
5,"6,1324,6,1,2,242756.16,Unsold,0"
6,"7,2020,1,1,3,317069.28,Sold,19024.1568"
7,"8,2674,6,3,1,247710.37,Sold,14862.6222"
8,"9,2705,6,1,2,242756.16,Sold,14565.3696"
9,"10,2326,4,3,2,274958.51,Sold,16497.5106"
10,"11,4303,6,2,1,247710.37,Unsold,0"
11,"12,2126,2,2,3,247710.37,Sold,14862.6222"
12,"13,2849,6,3,1,247710.37,Sold,14862.6222"
13,"14,2847,4,3,3,284866.93,Sold,17092.015799999997"
14,"15,4430,5,2,2,247710.37,Unsold,0"
15,"16,1379,5,1,2,237801.96,Sold,14268.1176"
16,"17,2103,3,3,1,277435.62,Unsold,0"
17,"18,1868,6,1,2,242756.16,Unsold,0"
18,"19,3444,3,1,1,284866.93,Unsold,0"
19,"20,1217,4,1,1,287344.03,Unsold,0"
20,"21,2118,4,2,1,262572.99,Unsold,0"
21,"22,1409,5,2,1,247710.37,Sold,14862.6222"
22,"23,2033,6,3,1,247710.37,Sold,14862.6222"
23,"24,2120,4,3,3,284866.93,Unsold,0"
24,"25,1846,6,1,1,274958.51,Unsold,0"
25,"26,3707,5,1,2,242756.16,Unsold,0"
26,"27,2460,2,1,2,260095.89,Unsold,0"
27,"28,3337,6,1,1,279912.72,Unsold,0"
28,"29,3738,1,1,2,322023.48,Sold,19321.408799999997"
29,"30,2981,6,3,3,247710.37,Unsold,0"
