,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,3256,3,3,2,249729.26,Sold,14983.7556"
1,"2,1783,4,2,2,217585.89,Unsold,0"
2,"3,4226,2,2,1,247256.69,Unsold,0"
3,"4,1916,6,1,2,242311.56,Sold,14538.693599999999"
4,"5,1796,5,3,3,247256.69,Sold,14835.401399999999"
5,"6,3692,5,2,1,247256.69,Sold,14835.401399999999"
6,"7,3596,4,3,1,267037.23,Sold,16022.233799999998"
7,"8,1566,5,2,2,247256.69,Sold,14835.401399999999"
8,"9,4006,6,3,1,247256.69,Sold,14835.401399999999"
9,"10,4507,6,3,2,247256.69,Sold,14835.401399999999"
10,"11,4354,3,3,3,232421.29,Sold,13945.2774"
11,"12,2778,6,2,3,247256.69,Sold,14835.401399999999"
12,"13,2401,5,3,3,247256.69,Unsold,0"
13,"14,1756,2,2,3,247256.69,Sold,14835.401399999999"
14,"15,4198,4,3,3,284345.19,Unsold,0"
15,"16,3202,3,3,1,284345.19,Unsold,0"
16,"17,2765,3,3,1,276927.49,Sold,16615.6494"
17,"18,1992,5,2,3,247256.69,Sold,14835.401399999999"
18,"19,2437,6,2,1,247256.69,Unsold,0"
19,"20,2359,2,2,2,247256.69,Sold,14835.401399999999"
20,"21,4706,6,1,3,237366.42,Sold,14241.985200000001"
21,"22,4860,5,3,3,247256.69,Sold,14835.401399999999"
22,"23,2288,5,2,3,247256.69,Sold,14835.401399999999"
23,"24,1203,6,3,2,247256.69,Sold,14835.401399999999"
24,"25,3373,5,3,3,247256.69,Sold,14835.401399999999"
25,"26,4982,6,2,1,247256.69,Sold,14835.401399999999"
26,"27,1751,5,2,2,247256.69,Sold,14835.401399999999"
27,"28,4916,6,3,1,247256.69,Sold,14835.401399999999"
28,"29,3141,4,3,1,267037.23,Sold,16022.233799999998"
29,"30,1206,5,3,2,247256.69,Sold,14835.401399999999"
