,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,4583,4,3,1,267527.2,Sold,16051.632"
1,"2,1510,6,3,2,247710.37,Sold,14862.6222"
2,"3,3662,6,3,1,247710.37,Sold,14862.6222"
3,"4,2658,5,3,2,247710.37,Unsold,0"
4,"5,2365,1,1,2,317069.28,Sold,19024.1568"
5,"6,4475,6,1,3,237801.96,Sold,14268.1176"
6,"7,4270,5,1,1,279912.72,Sold,16794.763199999998"
7,"8,1910,5,3,1,247710.37,Sold,14862.6222"
8,"9,3178,4,3,1,267527.2,Sold,16051.632"
9,"10,4964,5,2,3,247710.37,Unsold,0"
10,"11,2158,2,2,3,247710.37,Sold,14862.6222"
11,"12,3409,4,3,2,274958.51,Unsold,0"
12,"13,2095,5,2,1,247710.37,Sold,14862.6222"
13,"14,4685,6,2,1,247710.37,Unsold,0"
14,"15,3913,3,1,1,284866.93,Sold,17092.015799999997"
15,"16,1071,4,3,3,284866.93,Sold,17092.015799999997"
16,"17,2466,4,3,1,267527.2,Sold,16051.632"
17,"18,4362,6,1,2,257618.79,Sold,15457.1274"
18,"19,4107,5,2,1,247710.37,Sold,14862.6222"
19,"20,2826,6,1,2,242756.16,Sold,14565.3696"
20,"21,1906,4,2,2,217985.13,Sold,13079.1078"
21,"22,2833,3,2,1,257618.79,Sold,15457.1274"
22,"23,2272,6,2,2,247710.37,Sold,14862.6222"
23,"24,1760,6,2,1,247710.37,Sold,14862.6222"
24,"25,1392,6,2,1,247710.37,Sold,14862.6222"
25,"26,1187,5,1,1,274958.51,Sold,16497.5106"
26,"27,4282,6,2,1,247710.37,Sold,14862.6222"
27,"28,3811,5,3,3,247710.37,Sold,14862.6222"
28,"29,2320,6,3,1,247710.37,Sold,14862.6222"
29,"30,2408,6,2,1,247710.37,Sold,14862.6222"
