,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,3108,3,1,3,270004.31,Unsold,0"
1,"2,1397,4,1,2,245233.27,Unsold,0"
2,"3,1367,3,2,3,213030.92,Sold,12781.8552"
3,"4,1849,6,3,2,247710.37,Sold,14862.6222"
4,"5,1804,6,2,3,247710.37,Sold,14862.6222"
5,"6,1499,3,3,1,277435.62,Sold,16646.137199999997"
6,"7,2453,6,3,1,247710.37,Sold,14862.6222"
7,"8,4894,4,3,2,274958.51,Sold,16497.5106"
8,"9,4286,6,2,2,247710.37,Sold,14862.6222"
9,"10,1953,5,1,3,230370.65,Sold,13822.239"
10,"11,3782,5,3,2,247710.37,Sold,14862.6222"
11,"12,3834,3,3,2,250187.48,Sold,15011.2488"
12,"13,1052,5,3,2,247710.37,Sold,14862.6222"
13,"14,3724,4,2,3,217985.13,Sold,13079.1078"
14,"15,1732,6,2,3,247710.37,Sold,14862.6222"
15,"16,1509,6,3,1,247710.37,Sold,14862.6222"
16,"17,2492,4,3,2,274958.51,Sold,16497.5106"
17,"18,2866,5,3,3,247710.37,Unsold,0"
18,"19,2867,3,2,2,230370.65,Sold,13822.239"
19,"20,1205,6,2,2,247710.37,Sold,14862.6222"
20,"21,1039,4,3,2,274958.51,Sold,16497.5106"
21,"22,4933,6,3,1,247710.37,Sold,14862.6222"
22,"23,2854,6,3,1,247710.37,Sold,14862.6222"
23,"24,3294,6,1,1,279912.72,Sold,16794.763199999998"
24,"25,4066,5,3,1,247710.37,Sold,14862.6222"
25,"26,3382,3,3,2,250187.48,Sold,15011.2488"
26,"27,3405,6,2,2,247710.37,Sold,14862.6222"
27,"28,3983,3,3,2,250187.48,Sold,15011.2488"
28,"29,3352,6,1,3,222939.33,Sold,13376.359799999998"
29,"30,4976,3,3,3,232847.75,Sold,13970.865"
