,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,2581,5,3,1,247710.37,Sold,14862.6222"
1,"2,3699,6,2,3,247710.37,Sold,14862.6222"
2,"3,1524,5,3,1,247710.37,Sold,14862.6222"
3,"4,3610,4,3,2,274958.51,Sold,16497.5106"
4,"5,2393,5,2,2,247710.37,Sold,14862.6222"
5,"6,2554,6,3,3,247710.37,Sold,14862.6222"
6,"7,1454,5,3,1,247710.37,Unsold,0"
7,"8,3691,4,2,1,267527.2,Unsold,0"
8,"9,1902,5,1,1,274958.51,Sold,16497.5106"
9,"10,4523,5,3,2,247710.37,Sold,14862.6222"
10,"11,3603,6,2,2,247710.37,Sold,14862.6222"
11,"12,2104,5,3,2,247710.37,Sold,14862.6222"
12,"13,2915,5,2,2,247710.37,Sold,14862.6222"
13,"14,4995,4,3,3,284866.93,Sold,17092.015799999997"
14,"15,4231,5,2,3,247710.37,Sold,14862.6222"
15,"16,4929,5,2,3,247710.37,Unsold,0"
16,"17,3588,4,1,1,294775.34,Sold,17686.5204"
17,"18,3896,6,3,3,247710.37,Sold,14862.6222"
18,"19,4659,3,2,3,220462.23,Sold,13227.7338"
19,"20,4101,6,3,2,247710.37,Sold,14862.6222"
20,"21,3004,6,1,3,222939.33,Sold,13376.359799999998"
21,"22,1938,5,2,1,247710.37,Sold,14862.6222"
22,"23,1040,4,3,1,267527.2,Sold,16051.632"
23,"24,1005,6,1,2,242756.16,Sold,14565.3696"
24,"25,4598,5,3,1,247710.37,Sold,14862.6222"
25,"26,4722,5,2,1,247710.37,Sold,14862.6222"
26,"27,2236,6,1,1,274958.51,Unsold,0"
27,"28,1825,2,2,2,247710.37,Sold,14862.6222"
28,"29,2534,6,3,3,247710.37,Sold,14862.6222"
29,"30,3551,6,3,3,247710.37,Sold,14862.6222"
