,"house,lotSize,rooms,floors,baths,price,saleResult,commission"
0,"1,2898,2,1,3,260095.89,Unsold,0"
1,"2,1742,1,1,2,317069.28,Unsold,0"
2,"3,3832,3,2,3,220462.23,Sold,13227.7338"
3,"4,3854,6,2,1,247710.37,Sold,14862.6222"
4,"5,4499,3,3,3,232847.75,Sold,13970.865"
5,"6,1889,3,2,3,213030.92,Sold,12781.8552"
6,"7,4526,4,1,3,270004.31,Unsold,0"
7,"8,4457,4,3,1,267527.2,Unsold,0"
8,"9,2334,2,2,1,247710.37,Sold,14862.6222"
9,"10,3804,5,3,1,247710.37,Unsold,0"
10,"11,3113,4,1,1,294775.34,Sold,17686.5204"
11,"12,4774,5,3,2,247710.37,Sold,14862.6222"
12,"13,1558,3,2,3,213030.92,Sold,12781.8552"
13,"14,3120,6,1,1,279912.72,Unsold,0"
14,"15,4239,3,2,2,245233.27,Sold,14713.9962"
15,"16,3463,6,3,2,247710.37,Sold,14862.6222"
16,"17,4193,5,3,3,247710.37,Sold,14862.6222"
17,"18,2591,4,3,3,284866.93,Sold,17092.015799999997"
18,"19,3479,6,3,1,247710.37,Sold,14862.6222"
19,"20,3108,4,3,1,267527.2,Sold,16051.632"
20,"21,2895,3,3,2,242756.16,Unsold,0"
21,"22,4287,3,1,3,270004.31,Sold,16200.2586"
22,"23,1209,5,3,3,247710.37,Sold,14862.6222"
23,"24,4149,6,1,1,279912.72,Sold,16794.763199999998"
24,"25,3814,6,3,1,247710.37,Sold,14862.6222"
25,"26,2386,5,3,3,247710.37,Unsold,0"
26,"27,2182,2,2,1,247710.37,Sold,14862.6222"
27,"28,2585,5,3,2,247710.37,Unsold,0"
28,"29,1493,4,1,2,245233.27,Sold,14713.9962"
29,"30,1822,6,1,1,274958.51,Sold,16497.5106"
